LINE,STATION,YEAR,SURVEY_DATE_USED,WHETHER_SURVEYED,IN_0200_0600,OUT_0200_0600,IN_0600_0930,OUT_0600_0930,IN_0930_1500,OUT_0930_1500,IN_1500_1830,OUT_1500_1830,IN_1830_0200,OUT_1830_0200,IN_24_HOURS,OUT_24_HOURS,RANK,STATION_SORT_ID
Blue Mountains,Lapstone,2014,12/09/2012,No,10,0,130,0,20,20,0,110,0,40,160,160,236,1701
South Coast,Stanwell Park,2014,21/08/2013,No,0,0,130,0,20,30,10,80,0,50,160,160,236,1503
Newcastle,Adamstown,2014,22/08/2013,No,10,0,60,40,30,20,40,70,10,30,150,150,239,1912
Central Coast,Niagara Park,2014,15/11/2012,No,20,0,70,20,30,30,20,70,0,30,140,140,240,1810
Blue Mountains,Bullaburra,2014,21/11/2013,No,10,0,60,10,40,20,20,80,0,20,130,130,241,1712
Southern Highlands,Bargo,2014,18/06/2014,Yes,20,0,50,0,30,20,20,60,0,30,120,120,242,1606
South Coast,Berry,2014,27/08/2013,No,20,0,50,10,20,20,20,60,10,10,120,120,242,1533
Hunter,East Maitland,2014,3/06/2009,No,0,0,20,50,50,40,40,30,10,10,120,120,242,2010
South Coast,Towradgi,2014,9/10/2014,Yes,0,0,80,10,20,10,20,90,0,20,120,120,242,1514
Western,Vineyard,2014,21/11/2012,No,0,0,30,50,30,30,50,40,10,10,120,120,242,916
Central Coast,Koolewong,2014,31/10/2012,No,10,0,80,0,20,10,0,80,0,20,110,110,247,1805
Carlingford,Rosehill,2014,25/11/2014,Yes,0,0,60,20,20,20,20,40,10,30,110,110,247,1001
Newcastle,Booragul,2014,28/10/2014,Yes,0,0,20,70,10,10,70,10,0,10,100,100,249,1907
Western,Clarendon,2014,21/11/2012,No,0,0,40,10,40,20,20,70,0,10,100,100,249,919
Southern Highlands,Goulburn,2014,17/06/2014,Yes,10,0,30,10,50,40,0,0,10,50,100,100,249,1618
Blue Mountains,Valley Heights,2014,5/11/2013,No,10,0,70,10,10,20,10,50,0,20,100,100,249,1705
Blue Mountains,Bathurst,2014,30-31/10/12,No,90,0,0,0,0,0,0,0,0,90,90,90,253,1728
Hunter,High Street,2014,39967,No,0,0,30,20,20,30,20,30,20,10,90,90,253,2011
Blue Mountains,Mount Victoria,2014,20/09/2012,No,10,0,50,0,30,20,0,50,0,20,90,90,253,1718
Central Coast,Cowan,2014,15/10/2014,Yes,0,0,40,0,30,20,10,50,0,10,80,80,256,1801
Carlingford,Camellia,2014,5/11/2013,No,0,0,0,50,10,10,40,10,20,0,70,70,257,1002
Newcastle,Dora Creek,2014,11/12/2012,No,0,0,40,10,20,20,10,40,0,10,70,70,257,1904
South Coast,Minnamurra,2014,18/08/2014,Yes,10,0,40,10,20,30,0,30,0,10,70,70,257,1529
South Coast,Otford,2014,8/08/2012,No,10,0,40,0,20,20,0,40,0,10,70,70,257,1502
South Coast,Gerringong,2014,27/08/2013,No,0,0,30,10,20,20,10,20,0,10,60,60,261,1532
Hunter,Sandgate,2014,3/06/2009,No,0,0,20,40,10,10,30,10,0,0,60,60,261,2003
South Coast,Coledale,2014,19/08/2014,Yes,10,0,40,10,0,0,0,30,0,10,50,50,263,1507
Hunter,Dungog,2014,3/06/2009,No,0,0,20,0,10,20,20,20,0,10,50,50,263,2020
Hunter,Hexham,2014,3/06/2009,No,0,0,20,20,10,10,20,10,0,10,50,50,263,2004
Newcastle,Kotara,2014,22/08/2013,No,0,0,30,10,10,10,10,20,0,10,50,50,263,1911
Hunter,Muswellbrook,2014,3/06/2009,No,0,0,20,0,20,20,0,20,10,0,50,50,263,2027
Newcastle,Teralba,2014,4/12/2012,No,0,10,30,10,10,10,10,30,0,10,50,50,263,1908
Southern Highlands,Douglas Park,2014,19/06/2014,Yes,10,0,20,0,10,0,0,20,0,20,40,40,269,1603
Hunter,Singleton,2014,3/06/2009,No,0,0,20,20,10,0,10,30,0,10,40,40,269,2026
Newcastle,Awaba,2014,22/10/2014,Yes,0,0,30,0,0,10,0,20,0,10,30,30,271,1905
Southern Highlands,Bundanoon,2014,19/06/2014,Yes,10,0,20,0,0,0,0,10,0,10,30,30,271,1613
Newcastle,Cockle Creek,2014,28/11/2012,No,0,0,20,10,0,10,10,10,0,10,30,30,271,1909
Blue Mountains,Medlow Bath,2014,21/08/2014,Yes,0,0,20,0,10,10,0,20,0,10,30,30,271,1716
South Coast,Wombarra,2014,20/08/2013,No,0,0,20,0,10,10,0,30,0,10,30,30,271,1506
Southern Highlands,Yerrinbool,2014,17/06/2014,Yes,10,0,10,0,10,0,0,10,0,10,30,30,271,1607
South Coast,Cringila,2014,8/10/2014,Yes,0,0,0,20,10,10,10,10,0,0,20,20,277,1520
Hunter,Martins Creek,2014,3/06/2009,No,0,0,10,0,0,0,10,10,0,0,20,20,277,2016
Southern Highlands,Menangle Park,2014,19/06/2014,Yes,0,0,10,0,10,10,0,10,0,0,20,20,277,1601
South Coast,Port Kembla North,2014,18/09/2014,Yes,0,0,0,10,10,0,10,10,0,0,20,20,277,1521
Hunter,Scone,2014,3/06/2009,No,10,0,0,0,0,0,0,10,10,10,20,20,277,2029
Hunter,Tarro,2014,3/06/2009,No,0,0,10,0,10,0,0,10,0,0,20,20,277,2005
Hunter,Aberdeen,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,10,10,283,2028
South Coast,Bombo,2014,18/09/2014,Yes,0,0,10,0,0,0,0,10,0,0,10,10,283,1530
Hunter,Branxton,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,10,10,283,2024
Southern Highlands,Burradoo,2014,25/05/2010,No,0,0,0,0,0,0,0,0,0,0,10,10,283,1610
South Coast,Coalcliff,2014,9/08/2012,No,0,0,10,0,0,0,0,10,0,0,10,10,283,1504
South Coast,Dunmore (Shellharbour),2014,18/06/2014,Yes,0,0,10,0,0,10,0,10,0,0,10,10,283,1528
Southern Highlands,Exeter,2014,25/05/2010,No,0,0,10,0,0,0,0,10,0,0,10,10,283,1612
Hunter,Greta,2014,3/06/2009,No,0,0,0,0,0,0,0,10,0,0,10,10,283,2023
Blue Mountains,Linden,2014,19/08/2014,Yes,0,0,10,0,0,10,0,10,0,0,10,10,283,1708
Southern Highlands,Marulan,2014,17/06/2014,Yes,0,0,0,0,0,0,0,0,10,10,10,10,283,1617
Southern Highlands,Menangle,2014,17/06/2014,Yes,0,0,10,0,0,0,0,10,0,0,10,10,283,1602
Hunter,Paterson,2014,3/06/2009,No,0,0,10,0,0,0,0,10,0,0,10,10,283,2015
South Coast,Scarborough,2014,22/08/2013,No,0,0,10,0,0,0,0,10,0,0,10,10,283,1505
Southern Highlands,Tallong,2014,25/05/2010,No,0,0,10,0,0,0,0,0,0,10,10,10,283,1616
Central Coast,Wondabyne,2014,21/11/2012,No,0,0,0,0,0,0,0,0,0,0,10,10,283,1803
Blue Mountains,Bell,2014,0,No,0,0,0,0,0,0,0,0,0,0,0,0,298,1719
Hunter,Hilldale,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,298,2017
South Coast,Kembla Grange Racecourse,2014,15/02/1996,No,0,0,0,0,0,0,0,0,0,0,0,0,298,1524
Hunter,Lochinvar,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,298,2021
South Coast,Lysaghts,2014,12/11/2013,No,0,0,0,0,0,0,0,0,0,0,0,0,298,1519
Hunter,Mindaribba,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,298,2014
Southern Highlands,Penrose,2014,25/05/2010,No,0,0,0,0,0,0,0,0,0,0,0,0,298,1614
Hunter,Wallarobba,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,298,2018
Southern Highlands,Wingello,2014,25/05/2010,No,0,0,0,0,0,0,0,0,0,0,0,0,298,1615
Hunter,Wirragulla,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,298,2019
Blue Mountains,Zig Zag,2014,9/10/2014,Yes,0,0,0,0,0,0,0,0,0,0,0,0,298,1720
CBD,Central,2013,1/05/2013,Yes,910,910,10630,40280,19420,30940,44660,15130,18680,7050,94300,94300,1,101
CBD,Town Hall,2013,2/05/2013,Yes,870,870,5900,41590,15620,22660,42430,16200,24200,7700,89020,89020,2,102
CBD,Wynyard,2013,7/05/2013,Yes,570,540,4440,38550,8530,10410,33900,6110,10330,2150,57770,57770,3,103
Western,Parramatta,2013,12/11/2013,Yes,560,280,6690,12980,6050,6230,13740,6900,2800,3450,29840,29840,4,905
North Shore,North Sydney,2013,25/06/2013,Yes,250,240,1960,17540,3600,4440,16660,2540,3750,1470,26220,26220,5,1402
CBD,Redfern,2013,7/05/2013,Yes,240,240,3720,10050,5190,7980,11890,3920,3280,2140,24320,24320,6,108
North Shore,Chatswood,2013,27/08/2013,Yes,200,200,4750,7810,4700,5140,9350,5730,2850,2960,21850,21850,7,1407
Eastern Suburbs,Bondi Junction,2013,3/09/2013,Yes,210,210,9380,4220,4370,4750,5420,7400,2090,4900,21470,21470,8,203
Inner West,Strathfield,2013,4/09/2013,Yes,180,180,7840,3760,5200,4270,5060,7350,2000,4720,20280,20280,9,1110
CBD,Martin Place,2013,8/05/2013,Yes,190,170,530,13710,2720,3530,11960,1320,3820,490,19220,19220,10,107
CBD,Circular Quay,2013,8/05/2013,Yes,180,170,2160,8180,4030,5180,8490,3130,2950,1140,17810,17810,11,104
Illawarra,Hurstville,2013,5/06/2013,Yes,150,150,7110,2070,4950,3970,3640,6850,950,3750,16800,16800,12,310
North Shore,St Leonards,2013,27/08/2013,Yes,160,160,3210,8370,3070,3120,8130,2990,1920,1850,16490,16490,13,1405
Western,Blacktown,2013,13/11/2013,Yes,180,220,6070,2790,3810,3410,4080,6680,1660,2700,15800,15800,14,911
Inner West,Burwood,2013,4/09/2013,Yes,130,140,4600,2780,3710,3700,3760,5080,2320,2820,14520,14520,15,1109
Eastern Suburbs,Kings Cross,2013,3/09/2013,Yes,120,120,3650,3780,3080,2640,4350,3600,1530,2580,12730,12730,16,201
Illawarra,Kogarah,2013,4/06/2013,Yes,100,100,4420,2800,3610,2270,2830,4080,720,2430,11680,11680,17,307
North Shore,Hornsby,2013,20/08/2013,Yes,190,100,5230,2200,2350,2320,3120,4680,670,2270,11560,11560,18,1417
South,Lidcombe,2013,6/03/2013,Yes,110,110,4970,1840,2870,2260,2490,4200,1000,3030,11440,11440,19,702
Inner West,Ashfield,2013,4/09/2013,Yes,100,100,5050,2000,2660,2190,2480,4460,810,2350,11100,11100,20,1107
CBD,Museum,2013,9/05/2013,Yes,100,100,830,5830,1880,2400,6220,1390,1640,950,10670,10670,21,106
Western,Auburn,2013,7/03/2013,Yes,130,60,3950,1580,3160,2620,2420,4080,900,2230,10560,10560,22,901
Northern via Strathfield,Epping,2013,16/05/2013,Yes,170,90,5670,1610,1870,1420,2140,4870,620,2490,10470,10470,23,1208
Illawarra,Rockdale,2013,6/06/2013,Yes,90,90,4790,820,2690,2180,1670,4140,590,2600,9830,9830,24,306
South,Liverpool,2013,6/03/2013,Yes,160,80,2810,2250,2620,2250,2580,2850,590,1330,8760,8760,25,710
Northern via Macquarie Park,Macquarie University,2013,14/05/2013,Yes,80,80,1130,2990,2040,3150,4250,1790,1240,730,8740,8740,26,1303
CBD,St James,2013,9/05/2013,Yes,80,80,170,5140,1760,2340,4970,860,1740,300,8720,8720,27,105
Bankstown,Bankstown,2013,6/03/2013,Yes,150,80,3010,1690,2460,2450,2270,3140,710,1260,8600,8600,28,612
South,Cabramatta,2013,20/06/2013,Yes,140,70,3330,960,2620,2660,1510,3350,460,1040,8060,8060,29,708
Western,Westmead,2013,7/03/2013,Yes,130,70,2940,2470,2060,1610,2270,2250,440,1430,7840,7840,30,906
Western,Penrith,2013,19/11/2013,Yes,240,10,3330,1460,1530,1560,1800,3090,810,1590,7710,7710,31,928
South,Fairfield,2013,26/06/2013,Yes,130,60,2920,1010,2310,2200,1570,2870,350,1130,7280,7280,32,706
Western,Mount Druitt,2013,14/11/2012,No,130,60,4160,690,1780,1530,880,3480,210,1390,7160,7160,33,924
Northern via Strathfield,Rhodes,2013,27/03/2013,Yes,70,70,2200,2470,1850,1660,2170,1600,810,1290,7100,7100,34,1203
Eastern Suburbs,Edgecliff,2013,3/09/2013,Yes,70,70,3040,1810,1590,1570,1880,2390,470,1210,7050,7050,35,202
Northern via Strathfield,Eastwood,2013,25/06/2013,Yes,130,60,3260,800,1730,1300,1380,3040,360,1670,6860,6860,36,1207
Inner West,Newtown,2013,4/09/2013,Yes,70,60,2480,1300,1620,1430,1850,2330,810,1700,6830,6830,37,1102
Bankstown,Campsie,2013,5/03/2013,Yes,60,60,2990,720,2080,1850,1240,2920,380,1210,6750,6750,38,607
Western,Seven Hills,2013,7/03/2013,Yes,110,60,3930,1040,1310,1280,1140,3270,200,1030,6690,6690,39,910
Illawarra,Sutherland,2013,25/06/2013,Yes,110,60,3870,1020,1220,1170,1090,3170,230,1100,6520,6520,40,316
North Shore,Milsons Point,2013,27/08/2013,Yes,60,60,2020,1910,1480,1430,2070,1820,630,1040,6260,6260,41,1401
Airport,Mascot,2013,1-31/03/2013,Yes,40,170,1160,3200,1010,1010,3230,1060,680,680,6120,6120,42,402
Western,Granville,2013,7/03/2013,Yes,110,60,2590,1110,1520,1270,1420,2480,440,1170,6080,6080,43,903
East Hills,Campbelltown,2013,6/03/2013,Yes,110,50,3180,890,1300,1190,1170,2770,300,1150,6060,6060,44,518
Airport,Domestic Airport,2013,1-31/03/2013,Yes,10,270,910,1430,2100,1950,1600,1810,1230,370,5850,5850,45,403
Illawarra,Sydenham,2013,5/03/2013,Yes,50,50,1960,1740,1400,890,1740,1790,470,1150,5620,5620,46,301
North Shore,Gordon,2013,27/06/2013,Yes,50,50,2950,990,1200,1160,1080,2150,290,1220,5570,5570,47,1411
North Shore,Artarmon,2013,27/08/2013,Yes,80,50,2870,750,950,860,980,2390,280,1110,5160,5160,48,1406
Central Coast,Gosford,2013,21/11/2013,Yes,520,20,2430,1000,890,940,1170,2080,80,1060,5090,5090,49,1808
North Shore,Turramurra,2013,16/08/2012,No,40,40,3200,520,1050,600,500,2870,90,850,4880,4880,50,1413
Airport,Green Square,2013,1-31/03/2013,Yes,0,0,1310,2450,720,770,2400,990,380,620,4810,4810,51,401
South,Merrylands,2013,6/06/2013,Yes,80,40,2050,700,1330,1490,1140,1890,190,680,4790,4790,52,703
East Hills,Glenfield,2013,20/08/2013,Yes,70,40,3150,830,1080,510,360,2410,80,950,4740,4740,53,513
Bankstown,Lakemba,2013,3/05/2012,No,70,40,1840,650,1550,1090,990,2170,150,670,4600,4600,54,609
Western,St Marys,2013,27/03/2013,Yes,60,20,2370,830,1070,850,890,2120,170,740,4560,4560,55,925
Central Coast,Woy Woy,2013,14/11/2013,Yes,660,0,2600,210,660,750,300,2300,100,1040,4320,4320,56,1804
Illawarra,Mortdale,2013,20/06/2013,Yes,40,40,2630,310,920,840,490,2120,110,890,4190,4190,57,312
Northern via Strathfield,West Ryde,2013,1/05/2012,No,70,40,2190,660,840,590,800,2140,290,750,4190,4190,57,1205
East Hills,Riverwood,2013,21/08/2013,Yes,80,40,2370,320,930,700,580,2090,120,930,4080,4080,59,507
North Shore,Lindfield,2013,15/08/2013,Yes,30,30,2300,530,810,780,690,2010,170,650,4000,4000,60,1409
East Hills,Revesby,2013,13/06/2013,Yes,30,30,2220,300,740,700,690,2060,220,810,3900,3900,61,509
East Hills,Ingleburn,2013,5/06/2012,No,120,30,2050,610,770,790,770,1830,160,610,3870,3870,62,515
Bankstown,Marrickville,2013,14/03/2013,Yes,30,40,1740,500,990,1010,750,1550,230,640,3740,3740,63,603
Inner West,Summer Hill,2013,5/09/2013,Yes,30,30,2190,450,690,660,530,1650,130,760,3570,3570,64,1106
East Hills,Padstow,2013,10/08/2011,No,50,30,2480,380,530,650,440,1980,60,540,3560,3560,65,508
Western,Wentworthville,2013,26/03/2013,Yes,50,30,2660,180,510,520,280,1860,50,960,3550,3550,66,907
Inner West,Petersham,2013,6/09/2012,No,30,30,1590,1110,590,450,1060,1360,210,530,3480,3480,67,1104
Inner West,Stanmore,2013,5/09/2013,Yes,30,30,1950,740,520,550,880,1460,100,690,3480,3480,67,1103
Bankstown,St Peters,2013,5/03/2013,Yes,30,30,1790,770,520,510,840,1360,200,710,3380,3380,69,602
Northern via Macquarie Park,Pennant Hills,2013,17/05/2012,No,50,30,1820,580,650,550,770,1680,80,540,3370,3370,70,1306
Illawarra,Penshurst,2013,6/06/2013,Yes,40,30,2200,340,690,480,400,1800,40,710,3370,3370,70,311
Northern via Macquarie Park,Macquarie Park,2013,15/05/2013,Yes,30,40,430,2070,380,640,2150,430,370,190,3360,3360,72,1302
Northern via Strathfield,Meadowbank,2013,26/03/2013,Yes,30,30,1960,700,710,930,370,1260,220,360,3290,3290,73,1204
East Hills,Holsworthy,2013,21/08/2013,Yes,30,30,2320,190,450,270,330,1820,100,940,3230,3230,74,512
Illawarra,Caringbah,2013,12/06/2012,No,40,20,1450,970,710,680,850,1000,140,530,3190,3190,75,320
Western,Kingswood,2013,27/03/2013,Yes,60,30,1230,740,790,880,900,1140,210,400,3190,3190,75,927
Western,Pendle Hill,2013,26/03/2013,Yes,40,30,2070,470,510,520,450,1390,80,740,3150,3150,77,908
North Shore,Pymble,2013,16/08/2012,No,20,20,1610,750,570,330,810,1670,140,370,3150,3150,77,1412
Illawarra,Miranda,2013,12/06/2012,No,50,30,1080,600,900,980,930,1160,140,340,3100,3100,79,319
Bankstown,Punchbowl,2013,5/05/2013,Yes,40,20,1780,370,730,660,380,1650,90,320,3020,3020,80,611
North Shore,Roseville,2013,15/08/2012,No,20,20,1860,330,440,440,500,1460,180,740,3000,3000,81,1408
North Shore,Waitara,2013,22/08/2013,Yes,40,20,1680,830,430,360,810,1240,40,550,3000,3000,81,1416
Western,Quakers Hill,2013,13/06/2013,Yes,60,0,2080,280,410,440,340,1660,60,570,2950,2950,83,913
South,Flemington,2013,21/06/2012,No,20,30,1200,710,740,630,810,1150,160,430,2930,2930,84,701
Airport,International Airport,2013,1-31/03/2013,Yes,0,100,700,1130,1110,1010,650,480,470,210,2930,2930,84,404
East Hills,Kingsgrove,2013,18/06/2013,Yes,20,20,1270,880,690,470,780,1200,160,360,2920,2920,86,504
East Hills,Minto,2013,25/06/2013,Yes,50,20,1680,420,470,390,540,1540,110,470,2850,2850,87,516
Bankstown,Belmore,2013,5/03/2013,Yes,40,20,1480,310,650,690,590,1580,60,220,2820,2820,88,608
South,Guildford,2013,20/08/2013,Yes,50,30,1520,300,670,650,450,1370,130,480,2820,2820,88,704
Illawarra,Wolli Creek,2013,5/06/2013,Yes,50,30,1420,380,620,450,580,1080,130,870,2800,2800,90,303
Illawarra,Jannali,2013,26/06/2013,Yes,30,30,1920,180,490,380,300,1580,40,620,2780,2780,91,315
Western,Rooty Hill,2013,26/03/2013,Yes,50,20,1840,190,550,460,260,1550,60,540,2760,2760,92,923
Illawarra,Cronulla,2013,13/06/2013,Yes,40,20,1360,360,690,680,440,1140,100,430,2630,2630,93,322
South,Canley Vale,2013,7/06/2012,No,50,20,1640,190,650,610,230,1320,50,470,2620,2620,94,707
Olympic Park,Olympic Park,2013,18/06/2013,Yes,0,0,170,1420,320,660,1840,190,270,340,2600,2600,95,801
Northern via Strathfield,North Strathfield,2013,10/05/2012,No,20,20,1500,410,390,330,570,1350,110,480,2590,2590,96,1201
South Coast,Wollongong,2013,27/08/2013,Yes,150,10,840,560,720,700,690,680,190,630,2590,2590,96,1517
Western,Toongabbie,2013,20/11/2012,No,50,20,1510,240,480,430,340,1300,90,470,2470,2470,98,909
East Hills,Leumeah,2013,27/06/2013,Yes,50,20,1580,130,530,320,240,1490,50,490,2450,2450,99,517
South,Warwick Farm,2013,13/06/2012,No,40,20,1480,250,520,410,330,1300,80,470,2450,2450,99,709
Inner West,Croydon,2013,4/09/2012,No,20,20,1440,460,400,510,480,1000,100,460,2440,2440,101,1108
Inner West,Lewisham,2013,6/09/2012,No,20,20,1270,490,450,310,510,1140,140,410,2390,2390,102,1105
Western,Doonside,2013,6/06/2013,Yes,40,20,1680,170,390,380,220,1260,40,530,2370,2370,103,922
East Hills,Beverly Hills,2013,4/06/2013,Yes,50,10,1550,360,330,300,380,1180,40,500,2350,2350,104,505
Northern via Strathfield,Concord West,2013,19/03/2013,Yes,20,20,1230,440,400,320,560,1170,140,400,2350,2350,104,1202
North Shore,Killara,2013,27/08/2013,Yes,10,20,1570,210,380,400,280,1300,70,390,2310,2310,106,1410
East Hills,Macarthur,2013,12/06/2012,No,50,20,1030,420,610,580,420,970,190,310,2300,2300,107,519
North Shore,Wollstonecraft,2013,14/08/2012,No,20,20,1480,120,440,330,230,1140,90,640,2260,2260,108,1404
Bankstown,Berala,2013,21/06/2012,No,20,20,1440,110,490,430,230,1270,30,380,2210,2210,109,615
North Shore,Wahroonga,2013,16/08/2012,No,30,20,1160,530,330,370,630,890,50,390,2200,2200,110,1415
Bankstown,Wiley Park,2013,3/05/2012,No,20,20,1180,280,600,500,330,1040,60,360,2190,2190,111,610
Northern via Macquarie Park,Thornleigh,2013,27/03/2013,Yes,40,20,1370,160,420,270,230,1230,60,440,2120,2120,112,1307
North Shore,Waverton,2013,14/08/2012,No,20,20,1060,400,400,280,540,810,100,610,2120,2120,112,1403
Bankstown,Dulwich Hill,2013,2/05/2012,No,20,20,1270,200,420,290,250,1110,90,420,2050,2050,114,604
Bankstown,Yagoona,2013,3/05/2012,No,30,20,1220,150,520,440,210,1070,50,350,2030,2030,115,613
Northern via Macquarie Park,Beecroft,2013,20/08/2013,Yes,30,20,1450,140,290,290,180,1110,40,420,1990,1990,116,1305
Bankstown,Erskineville,2013,1/05/2012,No,20,20,1080,310,320,300,430,970,110,370,1960,1960,117,601
Bankstown,Canterbury,2013,2/05/2012,No,30,10,760,550,560,350,510,750,60,270,1920,1920,118,606
Inner West,Homebush,2013,21/06/2012,No,20,20,940,400,460,330,420,860,70,310,1910,1910,119,1111
Illawarra,Gymea,2013,12/06/2012,No,30,20,1220,220,380,440,160,850,60,330,1850,1850,120,318
Bankstown,Regents Park,2013,21/06/2012,No,30,10,690,630,370,250,680,660,70,270,1840,1840,121,616
Central Coast,Wyong,2013,13/11/2012,No,200,10,750,200,310,480,460,800,80,310,1800,1800,122,1814
Illawarra,Allawah,2013,22/08/2013,Yes,10,20,1200,150,320,310,210,870,20,420,1760,1760,123,309
North Shore,Berowra,2013,21/08/2013,Yes,40,0,1400,100,170,350,120,960,20,340,1750,1750,124,1421
Illawarra,Arncliffe,2013,6/06/2012,No,10,10,1060,150,400,380,220,920,50,280,1740,1740,125,304
Western,Emu Plains,2013,25/10/2012,No,150,20,1050,230,260,140,210,960,30,370,1700,1700,126,929
Northern via Macquarie Park,Normanhurst,2013,26/03/2013,Yes,20,10,910,480,390,260,280,620,20,260,1620,1620,127,1308
East Hills,Panania,2013,21/08/2013,Yes,30,10,800,510,270,180,480,660,30,260,1610,1610,128,510
Illawarra,Oatley,2013,25/06/2013,Yes,20,10,750,370,480,320,300,730,30,160,1580,1580,129,313
Blue Mountains,Katoomba,2013,11/09/2012,No,60,0,330,240,540,670,520,420,110,230,1560,1560,130,1715
Northern via Macquarie Park,North Ryde,2013,16/05/2013,Yes,0,0,190,980,230,250,980,220,160,110,1560,1560,130,1301
Blue Mountains,Springwood,2013,21/11/2013,Yes,90,0,800,220,260,290,350,770,50,270,1550,1550,132,1706
Illawarra,Carlton,2013,7/06/2012,No,30,10,1060,60,290,270,140,850,20,340,1540,1540,133,308
Illawarra,Engadine,2013,14/06/2012,No,30,10,860,310,230,210,360,720,40,270,1520,1520,134,324
North Shore,Warrawee,2013,16/08/2012,No,10,10,730,520,100,180,660,550,20,260,1520,1520,134,1414
Western,Harris Park,2013,7/03/2013,Yes,10,10,800,230,340,310,250,650,80,280,1480,1480,136,904
North Shore,Asquith,2013,27/03/2013,Yes,30,10,810,690,550,30,40,460,30,250,1460,1460,137,1418
South Coast,North Wollongong,2013,14/08/2012,No,10,0,290,540,570,480,380,280,200,160,1450,1450,138,1516
Illawarra,Kirrawee,2013,22/08/2013,Yes,30,10,790,160,350,260,210,730,60,260,1440,1440,139,317
Illawarra,Banksia,2013,6/06/2012,No,10,10,770,190,290,240,260,710,70,240,1400,1400,140,305
Bankstown,Hurlstone Park,2013,5/03/2013,Yes,10,10,910,100,320,270,120,670,20,330,1380,1380,141,605
Northern via Macquarie Park,Cheltenham,2013,27/06/2013,Yes,10,10,660,470,280,180,410,480,10,220,1370,1370,142,1304
Bankstown,Chester Hill,2013,14/08/2013,Yes,20,10,650,290,350,340,290,570,50,140,1360,1360,143,618
South Coast,Thirroul,2013,7/08/2012,No,50,10,900,60,310,160,80,840,20,290,1360,1360,143,1509
Central Coast,Tuggerah,2013,7/11/2012,No,130,10,700,140,300,340,180,640,50,240,1360,1360,143,1813
East Hills,Narwee,2013,5/06/2012,No,10,10,880,60,300,270,110,700,20,270,1320,1320,146,506
East Hills,Macquarie Fields,2013,14/08/2013,Yes,20,10,770,120,260,190,190,730,50,230,1290,1290,147,514
